union_type,union_name,union_location,union_members,union_detail_href
GMP,GLASS MOLDERS PLASTICS Local 279,IONE, CA 95640,23,http://www.unions.org/unions/glass,-molders,-pottery,-plastics,-allied-workers-international-union/local-279/25
HERE,HOTEL EMPL, RESTAURANT EMPL Local 2,209 GOLDEN GATE AVENUESAN FRANCISCO, CA 941023705,11000,http://www.unions.org/unions/unite-here/local-2/13588
HERE,HOTEL EMPL, RESTAURANT EMPL Local 2850,405 - 14TH ST, SUITE 164OAKLAND, CA 94612,2654,http://www.unions.org/unions/unite-here/local-2850/14069
HERE,HOTEL EMPL, RESTAURANT EMPL Local 19,2302 Zanker Road, 2nd FloorSAN JOSE, CA 95131,3841,http://www.unions.org/unions/unite-here/local-19/13527
HERE,HOTEL EMPL, RESTAURANT EMPL Local 49,1796 TRIBUTE RD, STE 200SACRAMENTO, CA 95815,2229,http://www.unions.org/unions/unite-here/local-49/13349
IAFF,FIRE FIGHTERS Local 305,520 MITCHE;; DRCAMP PARKS, CA 94568,17,http://www.unions.org/unions/international-association-of-fire-fighters/local-305/15295
IAM,MACHINISTS Local 1781,1511 ROLLINS RDBURLINGAME, CA 94010,6662,http://www.unions.org/unions/international-associations-of-machinists-and-aerospace-workers/local-1781/423
IAM,MACHINISTS Local 2231,655 VAQUEROS AVESUNNYVALE, CA 940853524,67,http://www.unions.org/unions/international-associations-of-machinists-and-aerospace-workers/local-2231/14252
IAM,MACHINISTS Local 2228,655 VAQUEROS AVENUESUNNYVALE, CA 940863524,981,http://www.unions.org/unions/international-associations-of-machinists-and-aerospace-workers/local-2228/18220
IAM,MACHINISTS Local 1782,SAN FRANCISCO, CA 941281617,1281,http://www.unions.org/unions/international-associations-of-machinists-and-aerospace-workers/local-1782/18482
IAM,MACHINISTS Local 1414,150 SOUTH BOULEVARDSAN MATEO, CA 944022462,4906,http://www.unions.org/unions/international-associations-of-machinists-and-aerospace-workers/local-1414/13892
IAM,MACHINISTS Local 1173,1900 BATES AVENUE, SUITE HCONCORD, CA 945208557,858,http://www.unions.org/unions/international-associations-of-machinists-and-aerospace-workers/local-1173/9579
IAM,MACHINISTS Local 1546,10260 Macarthur BlvdOakland, AK 946055143,2824,http://www.unions.org/unions/international-associations-of-machinists-and-aerospace-workers/local-1546/14159
IAM,MACHINISTS Local 801,7717 OAKPORT STOAKLAND, CA 946212026,50,http://www.unions.org/unions/international-associations-of-machinists-and-aerospace-workers/local-801/6371
IAM,MACHINISTS Local 190,7717 OAKPORT STREETOAKLAND, CA 946212026,18324,http://www.unions.org/unions/international-associations-of-machinists-and-aerospace-workers/local-190/14125
IAM,MACHINISTS Local 946,2749 SUNRISE BLVDRANCHO CORDOVA, CA 95742,616,http://www.unions.org/unions/international-associations-of-machinists-and-aerospace-workers/local-946/3788
IATSE,STAGE & PICTURE OPERATORS Local 119,SAN CARLOS, CA 940709998,195,http://www.unions.org/unions/international-alliance-of-theatrical-stage-employees/local-119/2143
IATSE,STAGE & PICTURE OPERATORS Local 784,1182 MARKET STREETSAN FRANCISCO, CA 94102,128,http://www.unions.org/unions/international-alliance-of-theatrical-stage-employees/local-784/1269
IATSE,STAGE & PICTURE OPERATORS Local 18,SUITE 207SAN FRANCISCO, CA 94103,370,http://www.unions.org/unions/international-alliance-of-theatrical-stage-employees/local-18/11735
